"";"parsed";"ebird"
"9436";"Chaetura fumosa";"Chaetura fumosa"
"9437";"Turdus lherminieri";"Turdus lherminieri"
"9438";"Aegypius monachus";"Aegypius monachus"
"9439";"Haematopus ostralegus";"Haematopus ostralegus"
"9440";"Celeus undatus";"Celeus undatus"
"9441";"Pyrrhura melanura";"Pyrrhura melanura"
"9442";"Eclectus polychloros";NA
"9443";"Eclectus riedeli";NA
"9444";"Eclectus cornelia";NA
"9445";"Hemitriccus cinnamomeipectus";"Hemitriccus cinnamomeipectus"
"9446";"Poecile montanus";"Poecile montanus"
"9447";"Poecile weigoldicus";"Poecile weigoldicus"
"9448";"Hydrobates tristrami";"Hydrobates tristrami"
"9449";"Zosterops citrinella";"Zosterops citrinella"
"9450";"Zosterops palpebrosus";"Zosterops palpebrosus"
"9451";"Zosterops auriventer";"Zosterops auriventer"
"9452";"Zosterops simplex";"Zosterops simplex"
"9453";"Malaconotus monteiri";"Malaconotus monteiri"
"9454";"Zosterops everetti";"Zosterops everetti"
"9455";"Catharus maculatus";"Catharus maculatus"
"9456";"Pelecanoides whenuahouensis";NA
"9457";"Pelecanoides georgicus";"Pelecanoides georgicus"
"9458";"Machaeropterus eckelberryi";"Machaeropterus eckelberryi"
"9459";"Otus cyprius";"Otus cyprius"
"9460";"Haematopus finschi";"Haematopus finschi"
"9461";"Pycnonotus simplex";"Pycnonotus simplex"
"9462";"Pycnonotus pseudosimplex";"Pycnonotus pseudosimplex"
"9463";"Phylloscopus presbytes";"Phylloscopus presbytes"
"9464";"Phylloscopus rotiensis";"Phylloscopus rotiensis"
"9465";"Myadestes lanaiensis";"Myadestes lanaiensis"
"9466";"Megascops gilesi";"Megascops gilesi"
"9467";"Macropygia macassariensis";"Macropygia macassariensis"
"9468";"Macropygia timorlaoensis";"Macropygia timorlaoensis"
"9469";"Acanthis flammea";"Acanthis flammea"
"9470";"Calliope obscura";"Calliope obscura"
"9471";"Columba argentina";"Columba argentina"
"9472";"Poicephalus senegalus";"Poicephalus senegalus"
"9473";"Malurus lamberti";"Malurus lamberti"
"9474";"Malurus assimilis";"Malurus assimilis"
"9475";"Acrocephalus taiti";"Acrocephalus taiti"
"9476";"Poospiza rufosuperciliaris";"Poospiza rufosuperciliaris"
"9477";"Accipiter striatus";"Accipiter striatus"
"9478";"Apteryx australis";"Apteryx australis"
"9479";"Aulacorhynchus huallagae";"Aulacorhynchus huallagae"
"9480";"Colaptes atricollis";"Colaptes atricollis"
"9481";"Cursorius cursor";"Cursorius cursor"
"9482";"Emberiza schoeniclus";"Emberiza schoeniclus"
"9483";"Fringilla coelebs";"Fringilla coelebs"
"9484";"Acrocephalus palustris";"Acrocephalus palustris"
"9485";"Acrocephalus scirpaceus";"Acrocephalus scirpaceus"
"9486";"Anthus rubescens";"Anthus rubescens"
"9487";"Apus pacificus";"Apus pacificus"
"9488";"Harpagus diodon";"Harpagus diodon"
"9489";"Himantopus himantopus";"Himantopus himantopus"
"9490";"Hypotaenidia tertia";NA
"9491";"Iduna pallida";"Iduna pallida"
"9492";"Machaeropterus striolatus";"Machaeropterus striolatus"
"9493";"Myiodynastes chrysocephalus";"Myiodynastes chrysocephalus"
"9494";"Neochmia evangelinae";NA
"9495";"Odontophorus strophium";"Odontophorus strophium"
"9496";"Calliope pectardens";"Calliope pectardens"
"9497";"Acrocephalus stentoreus";"Acrocephalus stentoreus"
"9498";"Alaudala rufescens";"Alaudala rufescens"
"9499";"Alectoris chukar";"Alectoris chukar"
"9500";"Ammomanes cinctura";"Ammomanes cinctura"
"9501";"Anas platyrhynchos";"Anas platyrhynchos"
"9502";"Anthus richardi";"Anthus richardi"
"9503";"Anthus similis";"Anthus similis"
"9504";"Platalea leucorodia";"Platalea leucorodia"
"9505";"Pomarea whitneyi";"Pomarea whitneyi"
"9506";"Apus pallidus";"Apus pallidus"
"9507";"Aquila fasciata";"Aquila fasciata"
"9508";"Aquila heliaca";"Aquila heliaca"
"9509";"Ardea alba";"Ardea alba"
"9510";"Ardenna carneipes";"Ardenna carneipes"
"9511";"Athene noctua";"Athene noctua"
"9512";"Scolopax rusticola";"Scolopax rusticola"
"9513";"Scytalopus rodriguezi";"Scytalopus rodriguezi"
"9514";"Sporophila maximiliani";"Sporophila maximiliani"
"9515";"Bubo africanus";"Bubo africanus"
"9516";"Stachyris nonggangensis";"Stachyris nonggangensis"
"9517";"Bubo ascalaphus";"Bubo ascalaphus"
"9518";"Sternula albifrons";"Sternula albifrons"
"9519";"Bubulcus ibis";"Bubulcus ibis"
"9520";"Bucanetes githagineus";"Bucanetes githagineus"
"9521";"Sternula saundersi";"Sternula saundersi"
"9522";"Calidris alpina";"Calidris alpina"
"9523";"Calidris falcinellus";"Calidris falcinellus"
"9524";"Calidris tenuirostris";"Calidris tenuirostris"
"9525";"Caprimulgus aegyptius";"Caprimulgus aegyptius"
"9526";"Cercotrichas galactotes";"Cercotrichas galactotes"
"9527";"Charadrius alexandrinus";"Charadrius alexandrinus"
"9528";"Charadrius dubius";"Charadrius dubius"
"9529";"Charadrius hiaticula";"Charadrius hiaticula"
"9530";"Tichodroma muraria";"Tichodroma muraria"
"9531";"Cinnyris asiaticus";"Cinnyris asiaticus"
"9532";"Chlidonias niger";"Chlidonias niger"
"9533";"Columba livia";"Columba livia"
"9534";"Cuculus canorus";"Cuculus canorus"
"9535";"Dromas ardeola";"Dromas ardeola"
"9536";"Emberiza calandra";"Emberiza calandra"
"9537";"Galerida cristata";"Galerida cristata"
"9538";"Xenopirostris damii";"Xenopirostris damii"
"9539";"Gallinago gallinago";"Gallinago gallinago"
"9540";"Xenus cinereus";"Xenus cinereus"
"9541";"Gallinula chloropus";"Gallinula chloropus"
"9542";"Dessonornis caffer";NA
"9543";"Zoothera margaretae";"Zoothera margaretae"
"9544";"Gymnoris xanthocollis";"Gymnoris xanthocollis"
"9545";"Hydroprogne caspia";"Hydroprogne caspia"
"9546";"Hypocolius ampelinus";"Hypocolius ampelinus"
"9547";"Ixobrychus minutus";"Ixobrychus minutus"
"9548";"Egretta picata";"Egretta picata"
"9549";"Merops apiaster";"Merops apiaster"
"9550";"Merops cyanophrys";NA
"9551";"Elaenia albiceps";"Elaenia albiceps"
"9552";"Merops persicus";"Merops persicus"
"9553";"Nycticorax nycticorax";"Nycticorax nycticorax"
"9554";"Oena capensis";"Oena capensis"
"9555";"Emberiza caesia";"Emberiza caesia"
"9556";"Oenanthe albonigra";"Oenanthe albonigra"
"9557";"Oenanthe monacha";"Oenanthe monacha"
"9558";"Emberiza pallasi";"Emberiza pallasi"
"9559";"Passer domesticus";"Passer domesticus"
"9560";"Phalacrocorax carbo";"Phalacrocorax carbo"
"9561";"Phalacrocorax nigrogularis";"Phalacrocorax nigrogularis"
"9562";"Emberiza siemsseni";"Emberiza siemsseni"
"9563";"Phalaropus lobatus";"Phalaropus lobatus"
"9564";"Phoenicopterus roseus";"Phoenicopterus roseus"
"9565";"Plegadis falcinellus";"Plegadis falcinellus"
"9566";"Pluvialis fulva";"Pluvialis fulva"
"9567";"Porphyrio porphyrio";"Porphyrio porphyrio"
"9568";"Prinia gracilis";"Prinia gracilis"
"9569";"Puffinus persicus";"Puffinus persicus"
"9570";"Pycnonotus xanthopygos";"Pycnonotus xanthopygos"
"9571";"Rallus aquaticus";"Rallus aquaticus"
"9572";"Riparia riparia";"Riparia riparia"
"9573";"Sterna hirundo";"Sterna hirundo"
"9574";"Ficedula albicollis";"Ficedula albicollis"
"9575";"Tachybaptus ruficollis";"Tachybaptus ruficollis"
"9576";"Todiramphus chloris";"Todiramphus chloris"
"9577";"Tyto alba";"Tyto alba"
"9578";"Vanellus gregarius";"Vanellus gregarius"
"9579";"Ficedula ruficauda";"Ficedula ruficauda"
"9580";"Hirundapus caudacutus";"Hirundapus caudacutus"
"9581";"Hirundo atrocaerulea";"Hirundo atrocaerulea"
"9582";"Horornis canturians";"Horornis canturians"
"9583";"Microptilotis gracilis";"Microptilotis gracilis"
"9584";"Iduna opaca";"Iduna opaca"
"9585";"Lanius excubitor";"Lanius excubitor"
"9586";"Lanius nubicus";"Lanius nubicus"
"9587";"Larus canus";"Larus canus"
"9588";"Larus glaucoides";"Larus glaucoides"
"9589";"Larus smithsonianus";NA
"9590";"Larvivora brunnea";"Larvivora brunnea"
"9591";"Lullula arborea";"Lullula arborea"
"9592";"Microcarbo pygmaeus";"Microcarbo pygmaeus"
"9593";"Monticola cinclorhyncha";"Monticola cinclorhyncha"
"9594";"Motacilla flava";"Motacilla flava"
"9595";"Muscicapa dauurica";"Muscicapa dauurica"
"9596";"Muscicapa sibirica";"Muscicapa sibirica"
"9597";"Muscicapa striata";"Muscicapa striata"
"9598";"Muscisaxicola capistratus";"Muscisaxicola capistratus"
"9599";"Neophedina cincta";"Neophedina cincta"
"9600";"Oenanthe cypriaca";"Oenanthe cypriaca"
"9601";"Oenanthe finschii";"Oenanthe finschii"
"9602";"Oenanthe hispanica";"Oenanthe hispanica"
"9603";"Oenanthe lugens";"Oenanthe lugens"
"9604";"Oenanthe picata";"Oenanthe picata"
"9605";"Passer moabiticus";"Passer moabiticus"
"9606";"Phoenicurus ochruros";"Phoenicurus ochruros"
"9607";"Phoenicurus phoenicurus";"Phoenicurus phoenicurus"
"9608";"Phylloscopus burkii";"Phylloscopus burkii"
"9609";"Phylloscopus collybita";"Phylloscopus collybita"
"9610";"Phylloscopus ibericus";"Phylloscopus ibericus"
"9611";"Phylloscopus neglectus";"Phylloscopus neglectus"
"9612";"Phylloscopus nitidus";"Phylloscopus nitidus"
"9613";"Phylloscopus sindianus";"Phylloscopus sindianus"
"9614";"Pterocles alchata";"Pterocles alchata"
"9615";"Rallus limicola";"Rallus limicola"
"9616";"Rissa tridactyla";"Rissa tridactyla"
"9617";"Serinus syriacus";"Serinus syriacus"
"9618";"Sporophila cinnamomea";"Sporophila cinnamomea"
"9619";"Sporophila palustris";"Sporophila palustris"
"9620";"Sterna striata";"Sterna striata"
"9621";"Sterna vittata";"Sterna vittata"
"9622";"Sternula lorata";"Sternula lorata"
"9623";"Curruca cantillans";"Curruca cantillans"
"9624";"Curruca communis";"Curruca communis"
"9625";"Curruca conspicillata";"Curruca conspicillata"
"9626";"Curruca crassirostris";"Curruca crassirostris"
"9627";"Curruca curruca";"Curruca curruca"
"9628";"Curruca hortensis";"Curruca hortensis"
"9629";"Curruca ruppeli";"Curruca ruppeli"
"9630";"Curruca subalpina";"Curruca subalpina"
"9631";"Terpsiphone paradisi";"Terpsiphone paradisi"
"9632";"Turdus feae";"Turdus feae"
"9633";"Turdus torquatus";"Turdus torquatus"
"9634";"Turdus unicolor";"Turdus unicolor"
"9635";"Turnix nanus";"Turnix nanus"
"9636";"Urile pelagicus";"Urile pelagicus"
"9637";"Phaethornis major";NA
"9638";"Pyrrhura chapmani";NA
"9639";"Eclectus roratus";"Eclectus roratus"
"9640";"Microptilotis imitatrix";"Microptilotis imitatrix"
"9641";"Zosterops japonicus";"Zosterops japonicus"
"9642";"Arremon flavirostris";"Arremon flavirostris"
"9643";"Arremon dorbignii";"Arremon dorbignii"
"9644";"Ortalis squamata";"Ortalis squamata"
"9645";"Cypsiurus parvus";"Cypsiurus parvus"
"9646";"Cypsiurus gracilis";"Cypsiurus gracilis"
"9647";"Pterodroma ultima";"Pterodroma ultima"
"9648";"Zoothera dauma";"Zoothera dauma"
"9649";"Zosterops leucophaeus";"Zosterops leucophaeus"
"9650";"Phaethon aethereus";"Phaethon aethereus"
"9651";"Vireo chivi";"Vireo chivi"
"9652";"Cichlocolaptes mazarbarnetti";"Cichlocolaptes mazarbarnetti"
"9653";"Cotinga maculata";"Cotinga maculata"
"9654";"Ortalis guttata";"Ortalis guttata"
"9655";"Dysithamnus plumbeus";"Dysithamnus plumbeus"
"9656";"Glaucidium mooreorum";"Glaucidium mooreorum"
"9657";"Glaucidium sanchezi";"Glaucidium sanchezi"
"9658";"Amazilia castaneiventris";NA
"9659";"Megapodius pritchardii";"Megapodius pritchardii"
"9660";"Macgregoria pulchra";"Macgregoria pulchra"
"9661";"Remiz pendulinus";"Remiz pendulinus"
"9662";"Philydor novaesi";"Philydor novaesi"
"9663";"Formicivora acutirostris";"Formicivora acutirostris"
"9664";"Clytorhynchus hamlini";"Clytorhynchus hamlini"
"9665";"Eos semilarvata";"Eos semilarvata"
"9666";"Lipaugus ater";"Lipaugus ater"
"9667";"Loriculus flosculus";"Loriculus flosculus"
"9668";"Callaeas cinereus";"Callaeas cinereus"
"9669";"Spelaeornis chocolatinus";"Spelaeornis chocolatinus"
"9670";"Symposiachrus menckei";"Symposiachrus menckei"
"9671";"Megapodius tenimberensis";"Megapodius tenimberensis"
"9672";"Certhia tianquanensis";"Certhia tianquanensis"
"9673";"Diglossa gloriosissima";"Diglossa gloriosissima"
"9674";"Hydrobates hornbyi";"Hydrobates hornbyi"
"9675";"Vanellus macropterus";"Vanellus macropterus"
"9676";"Hydrobates markhami";"Hydrobates markhami"
"9677";"Paradoxornis margaritae";NA
"9678";"Robsonius sorsogonensis";"Robsonius sorsogonensis"
"9679";"Megazosterops palauensis";"Megazosterops palauensis"
"9680";"Todiramphus albonotatus";"Todiramphus albonotatus"
"9681";"Hypotaenidia owstoni";NA
"9682";"Charmosyna diadema";NA
"9683";"Phylloscartes kronei";"Phylloscartes kronei"
"9684";"Todiramphus tutus";"Todiramphus tutus"
"9685";"Rhynochetos jubatus";"Rhynochetos jubatus"
"9686";"Didunculus strigirostris";"Didunculus strigirostris"
"9687";"Sporophila melanogaster";"Sporophila melanogaster"
"9688";"Chloropsis media";"Chloropsis media"
"9689";"Ptilinopus richardsii";"Ptilinopus richardsii"
"9690";"Hydrornis gurneyi";"Hydrornis gurneyi"
"9691";"Zenaida galapagoensis";"Zenaida galapagoensis"
"9692";"Xema sabini";"Xema sabini"
"9693";"Spheniscus demersus";"Spheniscus demersus"
"9694";"Spheniscus magellanicus";"Spheniscus magellanicus"
"9695";"Anser caerulescens";"Anser caerulescens"
"9696";"Aquila gurneyi";"Aquila gurneyi"
"9697";"Petroica pusilla";"Petroica pusilla"
"9698";"Petroica multicolor";"Petroica multicolor"
"9699";"Schoutedenapus myoptilus";"Schoutedenapus myoptilus"
"9700";"Gypohierax angolensis";"Gypohierax angolensis"
"9701";"Pomarea mira";"Pomarea mira"
"9702";"Sitta ledanti";"Sitta ledanti"
"9703";"Clamator glandarius";"Clamator glandarius"
"9704";"Aptenodytes forsteri";"Aptenodytes forsteri"
"9705";"Pygoscelis adeliae";"Pygoscelis adeliae"
"9706";"Pygoscelis papua";"Pygoscelis papua"
"9707";"Terpsiphone corvina";"Terpsiphone corvina"
"9708";"Gyps fulvus";"Gyps fulvus"
"9709";"Limosa haemastica";"Limosa haemastica"
"9710";"Merulaxis stresemanni";"Merulaxis stresemanni"
"9711";"Myrmotherula snowi";"Myrmotherula snowi"
"9712";"Phylloscartes ceciliae";"Phylloscartes ceciliae"
"9713";"Heliornis fulica";"Heliornis fulica"
"9714";"Burhinus bistriatus";"Burhinus bistriatus"
"9715";"Chamaepetes unicolor";"Chamaepetes unicolor"
"9716";"Geotrygon violacea";"Geotrygon violacea"
"9717";"Leptotila jamaicensis";"Leptotila jamaicensis"
"9718";"Zentrygon costaricensis";"Zentrygon costaricensis"
"9719";"Zentrygon lawrencii";"Zentrygon lawrencii"
"9720";"Zentrygon albifacies";"Zentrygon albifacies"
"9721";"Zentrygon chiriquensis";"Zentrygon chiriquensis"
"9722";"Zenaida aurita";"Zenaida aurita"
"9723";"Lurocalis semitorquatus";"Lurocalis semitorquatus"
"9724";"Nyctiphrynus mcleodii";"Nyctiphrynus mcleodii"
"9725";"Nyctiphrynus yucatanicus";"Nyctiphrynus yucatanicus"
"9726";"Nyctiphrynus ocellatus";"Nyctiphrynus ocellatus"
"9727";"Antrostomus rufus";"Antrostomus rufus"
"9728";"Antrostomus salvini";"Antrostomus salvini"
"9729";"Antrostomus badius";"Antrostomus badius"
"9730";"Antrostomus saturatus";"Antrostomus saturatus"
"9731";"Hydropsalis cayennensis";"Hydropsalis cayennensis"
"9732";"Hydropsalis maculicaudus";"Hydropsalis maculicaudus"
"9733";"Cathartes burrovianus";"Cathartes burrovianus"
"9734";"Euphonia laniirostris";"Euphonia laniirostris"
"9735";"Euphonia minuta";"Euphonia minuta"
"9736";"Spinus xanthogastrus";"Spinus xanthogastrus"
"9737";"Micrastur mirandollei";"Micrastur mirandollei"
"9738";"Ibycter americanus";"Ibycter americanus"
"9739";"Milvago chimachima";"Milvago chimachima"
"9740";"Capito maculicoronatus";"Capito maculicoronatus"
"9741";"Eubucco bourcierii";"Eubucco bourcierii"
"9742";"Brachygalba salmoni";"Brachygalba salmoni"
"9743";"Galbula ruficauda";"Galbula ruficauda"
"9744";"Jacamerops aureus";"Jacamerops aureus"
"9745";"Chloroceryle amazona";"Chloroceryle amazona"
"9746";"Chloroceryle inda";"Chloroceryle inda"
"9747";"Chloroceryle aenea";"Chloroceryle aenea"
"9748";"Nyctibius grandis";"Nyctibius grandis"
"9749";"Nyctibius griseus";"Nyctibius griseus"
"9750";"Nyctibius jamaicensis";"Nyctibius jamaicensis"
"9751";"Micropygia schomburgkii";"Micropygia schomburgkii"
"9752";"Laterallus ruber";"Laterallus ruber"
"9753";"Laterallus exilis";"Laterallus exilis"
"9754";"Amaurolimnas concolor";"Amaurolimnas concolor"
"9755";"Jacana jacana";"Jacana jacana"
"9756";"Puffinus subalaris";"Puffinus subalaris"
"9757";"Mesembrinibis cayennensis";"Mesembrinibis cayennensis"
"9758";"Vanellus chilensis";"Vanellus chilensis"
"9759";"Charadrius collaris";"Charadrius collaris"
"9760";"Jabiru mycteria";"Jabiru mycteria"
"9761";"Eurypyga helias";"Eurypyga helias"
"9762";"Sula granti";"Sula granti"
"9763";"Momotus mexicanus";"Momotus mexicanus"
"9764";"Momotus coeruliceps";"Momotus coeruliceps"
"9765";"Momotus lessonii";"Momotus lessonii"
"9766";"Momotus subrufescens";"Momotus subrufescens"
"9767";"Baryphthengus martii";"Baryphthengus martii"
"9768";"Electron platyrhynchum";"Electron platyrhynchum"
"9769";"Eumomota superciliosa";"Eumomota superciliosa"
"9770";"Fregata minor";"Fregata minor"
"9771";"Crypturellus cinnamomeus";"Crypturellus cinnamomeus"
"9772";"Crypturellus occidentalis";NA
"9773";"Eupsittula pertinax";"Eupsittula pertinax"
"9774";"Ara chloropterus";"Ara chloropterus"
"9775";"Forpus conspicillatus";"Forpus conspicillatus"
"9776";"Pionus menstruus";"Pionus menstruus"
"9777";"Pyrrhura emma";NA
"9778";"Botaurus pinnatus";"Botaurus pinnatus"
"9779";"Ardea cocoi";"Ardea cocoi"
"9780";"Pilherodius pileatus";"Pilherodius pileatus"
"9781";"Coccycua minuta";"Coccycua minuta"
"9782";"Piaya cayana";"Piaya cayana"
"9783";"Piaya mexicana";NA
"9784";"Tapera naevia";"Tapera naevia"
"9785";"Dromococcyx phasianellus";"Dromococcyx phasianellus"
"9786";"Geococcyx velox";"Geococcyx velox"
"9787";"Crotophaga major";"Crotophaga major"
"9788";"Anous minutus";"Anous minutus"
"9789";"Phaethon lepturus";"Phaethon lepturus"
"9790";"Phaethon rubricauda";"Phaethon rubricauda"
"9791";"Trogon melanurus";"Trogon melanurus"
"9792";"Trogon chionurus";"Trogon chionurus"
"9793";"Euptilotis neoxenus";"Euptilotis neoxenus"
"9794";"Geothlypis semiflava";"Geothlypis semiflava"
"9795";"Basileuterus cabanisi";NA
"9796";"Paraclaravis mondetoura";"Paraclaravis mondetoura"
"9797";"Aramides albiventris";"Aramides albiventris"
"9798";"Aramides cajaneus";"Aramides cajaneus"
"9799";"Hylophilus flavipes";"Hylophilus flavipes"
"9800";"Tunchiornis luteifrons";NA
"9801";"Pachysylvia aurantiifrons";"Pachysylvia aurantiifrons"
"9802";"Campylorhynchus albobrunneus";"Campylorhynchus albobrunneus"
"9803";"Cantorchilus leucotis";"Cantorchilus leucotis"
"9804";"Florisuga mellivora";"Florisuga mellivora"
"9805";"Glaucis aeneus";"Glaucis aeneus"
"9806";"Glaucis hirsutus";"Glaucis hirsutus"
"9807";"Threnetes ruckeri";"Threnetes ruckeri"
"9808";"Phaethornis guy";"Phaethornis guy"
"9809";"Phaethornis anthophilus";"Phaethornis anthophilus"
"9810";"Phaethornis striigularis";"Phaethornis striigularis"
"9811";"Colibri delphinae";"Colibri delphinae"
"9812";"Colibri thalassinus";"Colibri thalassinus"
"9813";"Anthracothorax prevostii";"Anthracothorax prevostii"
"9814";"Anthracothorax nigricollis";"Anthracothorax nigricollis"
"9815";"Anthracothorax veraguensis";"Anthracothorax veraguensis"
"9816";"Lophornis delattrei";"Lophornis delattrei"
"9817";"Lophornis adorabilis";"Lophornis adorabilis"
"9818";"Panterpe insignis";"Panterpe insignis"
"9819";"Heliomaster longirostris";"Heliomaster longirostris"
"9820";"Heliomaster constantii";"Heliomaster constantii"
"9821";"Lampornis hemileucus";"Lampornis hemileucus"
"9822";"Lampornis calolaemus";"Lampornis calolaemus"
"9823";"Calliphlox bryantae";NA
"9824";"Doricha enicura";"Doricha enicura"
"9825";"Calothorax pulcher";"Calothorax pulcher"
"9826";"Selasphorus flammula";"Selasphorus flammula"
"9827";"Selasphorus scintilla";"Selasphorus scintilla"
"9828";"Chlorostilbon auriceps";NA
"9829";"Chlorostilbon forficatus";NA
"9830";"Chlorostilbon canivetii";NA
"9831";"Chlorostilbon assimilis";"Chlorostilbon assimilis"
"9832";"Cynanthus sordidus";NA
"9833";"Klais guimeti";"Klais guimeti"
"9834";"Campylopterus cuvierii";NA
"9835";"Campylopterus curvipennis";NA
"9836";"Campylopterus hemileucurus";"Campylopterus hemileucurus"
"9837";"Elvira chionura";NA
"9838";"Elvira cupreiceps";NA
"9839";"Chalybura buffonii";"Chalybura buffonii"
"9840";"Amazilia amabilis";NA
"9841";"Amazilia decora";NA
"9842";"Amazilia cyanocephala";NA
"9843";"Amazilia beryllina";NA
"9844";"Amazilia cyanura";NA
"9845";"Amazilia saucerottei";NA
"9846";"Amazilia edward";NA
